country,fecha,marketing_spend,discount_pct,stock_available,price,sales
AR,01/01/2023,2360,0.055,321,46.14,2031.51
AR,01/01/2023,5926,0.138,622,46.25,4387.11
AR,01/02/2023,1630,0.006,1019,51.93,2769.57
AR,01/02/2023,4058,0.042,725,63.77,3249.06
AR,01/03/2023,3306,0.137,936,47.06,3881.05
AR,01/03/2023,3028,0.014,1068,49.97,3703.88
AR,01/04/2023,4388,0.02,637,62.28,3160.28
AR,01/04/2023,4112,0.069,341,38.69,3755.44
AR,01/05/2023,2978,0.183,1025,19.62,4620.3
AR,01/05/2023,5443,0.227,639,27.77,5362.36
AR,01/06/2023,5343,0.055,952,57.59,4592.68
AR,01/06/2023,2495,0.179,1065,33.35,4085.55
AR,01/07/2023,5298,0.156,951,33.29,5510.84
AR,01/07/2023,2576,0.176,466,31.2,3211.67
AR,01/08/2023,1879,0.083,406,55.7,2116.4
AR,01/08/2023,2995,0.004,748,51.22,3757.94
AR,01/09/2023,7294,0.237,628,21.48,6328.95
AR,01/09/2023,7778,0.255,1029,33.55,7289.22
AR,01/10/2023,6098,0.093,977,49.3,5495.08
AR,01/10/2023,3070,0.142,862,63.67,3861.9
AR,01/11/2023,4190,0.228,467,29.09,4483.84
AR,01/11/2023,2984,0.061,1113,47.91,4638.96
AR,01/12/2023,2063,0.169,1149,60.66,4052.53
AR,01/12/2023,4742,0.061,774,21.62,5405.33
AR,01/01/2024,3222,0.208,1045,61.7,3755.69
AR,01/01/2024,4193,0.137,869,26.77,4591.81
AR,01/02/2024,3481,0.162,755,23.74,4112.21
AR,01/02/2024,7004,0.068,882,56.45,5197.45
AR,01/03/2024,7364,0.091,959,42.01,5676.4
AR,01/03/2024,6853,0.101,1076,33.19,6022.27
AR,01/04/2024,7227,0.167,941,35.09,6466.19
AR,01/04/2024,3136,0.085,330,30.54,2669.7
AR,01/05/2024,5597,0.151,815,19.55,6026.2
AR,01/05/2024,7257,0.043,933,39.05,5995.99
AR,01/06/2024,3233,0.073,1085,21.8,4542.53
AR,01/06/2024,5889,0.11,1133,64.22,5583.15
AR,01/07/2024,3430,0.245,393,57.26,3107.08
AR,01/07/2024,3294,0.177,1181,18.78,5309.47
AR,01/08/2024,3486,0.243,397,48.32,3766.66
AR,01/08/2024,7259,0.155,1121,24.46,7456.99
AR,01/09/2024,7565,0.277,547,30.12,6699.59
AR,01/09/2024,2516,0.155,1130,29.37,4610.0
AR,01/10/2024,6923,0.29,702,60.32,5566.97
AR,01/10/2024,4670,0.21,457,60.16,4328.04
AR,01/11/2024,7795,0.121,922,48.18,7279.46
AR,01/11/2024,4683,0.03,348,63.76,3903.78
AR,01/12/2024,4461,0.048,587,40.82,4807.92
AR,01/12/2024,5567,0.214,1050,41.21,6733.48
AR,01/01/2025,6411,0.224,1145,52.98,5292.34
AR,01/01/2025,4235,0.028,1132,47.91,4545.54
AR,01/02/2025,2545,0.073,287,64.01,2128.69
AR,01/02/2025,7670,0.238,1047,48.32,6217.79
AR,01/03/2025,2459,0.259,1078,41.46,4273.67
AR,01/03/2025,1516,0.298,407,62.83,2049.22
AR,01/04/2025,4944,0.265,1141,18.73,5975.83
AR,01/04/2025,5776,0.172,949,58.09,5465.27
AR,01/05/2025,1690,0.092,1177,58.0,3168.05
AR,01/05/2025,3316,0.118,815,50.71,3689.84
AR,01/06/2025,3395,0.021,875,46.91,4282.99
AR,01/06/2025,2284,0.255,642,51.02,3215.8
AR,01/07/2025,7096,0.089,787,56.08,6214.09
AR,01/07/2025,6280,0.058,1025,50.99,7078.55
AR,01/08/2025,5995,0.015,1132,33.89,6347.21
AR,01/08/2025,4274,0.202,300,39.88,3962.02
AR,01/09/2025,2074,0.295,399,45.77,2635.98
AR,01/09/2025,3991,0.098,513,54.19,3891.68
AR,01/10/2025,4551,0.29,352,22.01,4618.65
AR,01/10/2025,5642,0.21,1185,52.13,5976.37
AR,01/11/2025,5864,0.291,355,33.18,5293.84
AR,01/11/2025,5175,0.223,595,19.19,5907.22
AR,01/12/2025,1616,0.024,376,50.71,1925.9
AR,01/12/2025,2012,0.133,345,43.81,2660.13
CL,01/01/2023,2059,0.055,486,31.16,2711.57
CL,01/01/2023,3794,0.014,403,34.73,3054.02
CL,01/02/2023,6592,0.036,534,23.46,4816.68
CL,01/02/2023,6823,0.005,723,41.11,4997.04
CL,01/03/2023,6146,0.104,503,38.39,4816.37
CL,01/03/2023,4349,0.078,1155,47.42,4037.73
CL,01/04/2023,3989,0.15,574,50.15,3576.39
CL,01/04/2023,7901,0.008,1145,47.91,6492.42
CL,01/05/2023,2351,0.173,939,44.95,3439.42
CL,01/05/2023,4998,0.282,1084,56.56,5008.62
CL,01/06/2023,6787,0.272,805,30.88,6065.89
CL,01/06/2023,4046,0.185,976,21.35,4677.79
CL,01/07/2023,2275,0.116,851,34.01,3484.83
CL,01/07/2023,2325,0.209,742,62.02,2476.73
CL,01/08/2023,2228,0.241,1010,43.75,4262.21
CL,01/08/2023,4286,0.297,797,35.48,4447.35
CL,01/09/2023,3643,0.102,439,44.41,3349.88
CL,01/09/2023,3826,0.226,1122,35.75,4606.88
CL,01/10/2023,5452,0.152,1129,36.31,5672.01
CL,01/10/2023,7231,0.003,482,57.82,4916.0
CL,01/11/2023,5860,0.096,967,49.81,5378.01
CL,01/11/2023,1643,0.135,348,46.31,1158.7
CL,01/12/2023,4438,0.064,814,55.2,4429.69
CL,01/12/2023,4794,0.017,412,59.72,3805.82
CL,01/01/2024,5830,0.212,1000,24.72,5335.97
CL,01/01/2024,4824,0.252,423,50.95,3714.74
CL,01/02/2024,7813,0.119,1044,51.19,6104.4
CL,01/02/2024,2010,0.272,550,53.41,2102.38
CL,01/03/2024,4641,0.212,1036,54.53,3891.71
CL,01/03/2024,7477,0.099,375,41.15,5223.5
CL,01/04/2024,6248,0.122,887,20.65,6049.88
CL,01/04/2024,3496,0.071,754,35.62,3830.96
CL,01/05/2024,4940,0.025,1178,28.51,5381.82
CL,01/05/2024,5798,0.276,925,44.03,5700.59
CL,01/06/2024,7151,0.023,296,47.58,4660.7
CL,01/06/2024,2896,0.209,508,60.35,3209.17
CL,01/07/2024,6631,0.288,1033,59.84,6738.58
CL,01/07/2024,6627,0.051,925,39.79,5808.16
CL,01/08/2024,4245,0.069,789,21.65,4883.47
CL,01/08/2024,6524,0.123,710,50.18,6007.72
CL,01/09/2024,2424,0.04,796,56.66,2480.15
CL,01/09/2024,4371,0.263,500,20.13,4836.17
CL,01/10/2024,2515,0.113,314,40.58,2258.84
CL,01/10/2024,6284,0.251,859,19.73,6611.63
CL,01/11/2024,2010,0.082,1072,58.64,3355.02
CL,01/11/2024,5136,0.283,707,35.76,5331.66
CL,01/12/2024,7497,0.075,934,46.49,7225.73
CL,01/12/2024,3323,0.014,344,23.34,3195.51
CL,01/01/2025,7797,0.149,687,54.3,5385.36
CL,01/01/2025,2577,0.29,983,55.22,3165.79
CL,01/02/2025,6219,0.144,1168,53.49,5580.96
CL,01/02/2025,6030,0.271,953,18.68,5716.51
CL,01/03/2025,2829,0.177,1047,44.08,3667.96
CL,01/03/2025,5844,0.154,584,36.64,4371.96
CL,01/04/2025,6354,0.157,330,62.63,3655.31
CL,01/04/2025,4531,0.014,1023,41.15,4498.46
CL,01/05/2025,5800,0.063,292,29.29,4351.76
CL,01/05/2025,5955,0.209,530,60.15,4190.96
CL,01/06/2025,4766,0.155,921,26.1,5040.05
CL,01/06/2025,5400,0.01,1087,23.67,5487.05
CL,01/07/2025,7876,0.107,295,35.12,6194.06
